unique_item_no,my_rs,res_vec,plots_with_labels,images,size_h,size_w,instructions,masks_with_labels,,,,
1,0.279592388,96.74,all_plots/1LN.png,1LN.png,0.86,0.86,   ,masks/mask1.png,,,,
2,0.279592388,96.74,all_plots/1LY.png,1LY.png,0.86,0.86,   ,masks/mask2.png,,,,   
3,0.279592388,96.74,all_plots/1MN.png,1MN.png,0.34,0.34,   ,masks/mask3.png,,,,
4,0.279592388,96.74,all_plots/1MY.png,1MY.png,0.34,0.34,   ,masks/mask4.png,,,,
5,0.279592388,96.74,all_plots/1SN.png,1SN.png,0.215,0.215,   ,masks/mask5.png,,,,
6,0.279592388,96.74,all_plots/1SY.png,1SY.png,0.215,0.215,   ,masks/mask6.png,,,,
7,0.635609583,77.8,all_plots/2LN.png,2LN.png,0.86,0.86,   ,masks/mask7.png,,,,
8,0.635609583,77.8,all_plots/2LY.png,2LY.png,0.86,0.86,   ,masks/mask8.png,,,,
9,0.635609583,77.8,all_plots/2MN.png,2MN.png,0.34,0.34,   ,masks/mask9.png,,,,
10,0.635609583,77.8,all_plots/2MY.png,2MY.png,0.34,0.34,   ,masks/mask10.png,,,,
11,0.635609583,77.8,all_plots/2SN.png,2SN.png,0.215,0.215,   ,masks/mask11.png,,,,
12,0.635609583,77.8,all_plots/2SY.png,2SY.png,0.215,0.215,   ,masks/mask12.png,,,,
13,0.626492313,78.6,all_plots/3LN.png,3LN.png,0.86,0.86,   ,masks/mask13.png,,,,
14,0.626492313,78.6,all_plots/3LY.png,3LY.png,0.86,0.86,   ,masks/mask14.png,,,,
15,0.626492313,78.6,all_plots/3MN.png,3MN.png,0.34,0.34,   ,masks/mask15.png,,,,
16,0.626492313,78.6,all_plots/3MY.png,3MY.png,0.34,0.34,   ,masks/mask16.png,,,,
17,0.626492313,78.6,all_plots/3SN.png,3SN.png,0.215,0.215,   ,masks/mask17.png,,,,
18,0.626492313,78.6,all_plots/3SY.png,3SY.png,0.215,0.215,   ,masks/mask18.png,,,,
19,0.636365609,77.73,all_plots/4LN.png,4LN.png,0.86,0.86,   ,masks/mask19.png,,,,
20,0.636365609,77.73,all_plots/4LY.png,4LY.png,0.86,0.86,   ,masks/mask20.png,,,,
21,0.636365609,77.73,all_plots/4MN.png,4MN.png,0.34,0.34,   ,masks/mask21.png,,,,
22,0.636365609,77.73,all_plots/4MY.png,4MY.png,0.34,0.34,   ,masks/mask22.png,,,,
23,0.636365609,77.73,all_plots/4SN.png,4SN.png,0.215,0.215,   ,masks/mask23.png,,,,
24,0.636365609,77.73,all_plots/4SY.png,4SY.png,0.215,0.215,   ,masks/mask24.png,,,,
25,0.802640768,59.96,all_plots/5LN.png,5LN.png,0.86,0.86,   ,masks/mask25.png,,,,
26,0.802640768,59.96,all_plots/5LY.png,5LY.png,0.86,0.86,   ,masks/mask26.png,,,,
27,0.802640768,59.96,all_plots/5MN.png,5MN.png,0.34,0.34,   ,masks/mask27.png,,,,
28,0.802640768,59.96,all_plots/5MY.png,5MY.png,0.34,0.34,   ,masks/mask28.png,,,,
29,0.802640768,59.96,all_plots/5SN.png,5SN.png,0.215,0.215,   ,masks/mask29.png,,,,
30,0.802640768,59.96,all_plots/5SY.png,5SY.png,0.215,0.215,   ,masks/mask30.png,,,,
31,0.648217424,76.68,all_plots/6LN.png,6LN.png,0.86,0.86,   ,masks/mask31.png,,,,
32,0.648217424,76.68,all_plots/6LY.png,6LY.png,0.86,0.86,   ,masks/mask32.png,,,,
33,0.648217424,76.68,all_plots/6MN.png,6MN.png,0.34,0.34,   ,masks/mask33.png,,,,
34,0.648217424,76.68,all_plots/6MY.png,6MY.png,0.34,0.34,   ,masks/mask34.png,,,,
35,0.648217424,76.68,all_plots/6SN.png,6SN.png,0.215,0.215,   ,masks/mask35.png,,,,
36,0.648217424,76.68,all_plots/6SY.png,6SY.png,0.215,0.215,   ,masks/mask36.png,,,,
37,0.206647029,98.37,all_plots/7LN.png,7LN.png,0.86,0.86,   ,masks/mask37.png,,,,
38,0.206647029,98.37,all_plots/7LY.png,7LY.png,0.86,0.86,   ,masks/mask38.png,,,,
39,0.206647029,98.37,all_plots/7MN.png,7MN.png,0.34,0.34,   ,masks/mask39.png,,,,
40,0.206647029,98.37,all_plots/7MY.png,7MY.png,0.34,0.34,   ,masks/mask40.png,,,,
41,0.206647029,98.37,all_plots/7SN.png,7SN.png,0.215,0.215,   ,masks/mask41.png,,,,
42,0.206647029,98.37,all_plots/7SY.png,7SY.png,0.215,0.215,   ,masks/mask42.png,,,,
43,0.362785354,94.22,all_plots/8LN.png,8LN.png,0.86,0.86,   ,masks/mask43.png,,,,
44,0.362785354,94.22,all_plots/8LY.png,8LY.png,0.86,0.86,   ,masks/mask44.png,,,,
45,0.362785354,94.22,all_plots/8MN.png,8MN.png,0.34,0.34,   ,masks/mask45.png,,,,
46,0.362785354,94.22,all_plots/8MY.png,8MY.png,0.34,0.34,   ,masks/mask46.png,,,,
47,0.362785354,94.22,all_plots/8SN.png,8SN.png,0.215,0.215,   ,masks/mask47.png,,,,
48,0.362785354,94.22,all_plots/8SY.png,8SY.png,0.215,0.215,   ,masks/mask48.png,,,,
49,0.666258631,75.11,all_plots/9LN.png,9LN.png,0.86,0.86,   ,masks/mask49.png,,,,
50,0.666258631,75.11,all_plots/9LY.png,9LY.png,0.86,0.86,   ,masks/mask50.png,,,,
51,0.666258631,75.11,all_plots/9MN.png,9MN.png,0.34,0.34,   ,masks/mask51.png,,,,
52,0.666258631,75.11,all_plots/9MY.png,9MY.png,0.34,0.34,   ,masks/mask52.png,,,,
53,0.666258631,75.11,all_plots/9SN.png,9SN.png,0.215,0.215,   ,masks/mask53.png,,,,
54,0.666258631,75.11,all_plots/9SY.png,9SY.png,0.215,0.215,   ,masks/mask54.png,,,,
55,0.559975799,83.71,all_plots/10LN.png,10LN.png,0.86,0.86,   ,masks/mask55.png,,,,
56,0.559975799,83.71,all_plots/10LY.png,10LY.png,0.86,0.86,   ,masks/mask56.png,,,,
57,0.559975799,83.71,all_plots/10MN.png,10MN.png,0.34,0.34,   ,masks/mask57.png,,,,
58,0.559975799,83.71,all_plots/10MY.png,10MY.png,0.34,0.34,   ,masks/mask58.png,,,,
59,0.559975799,83.71,all_plots/10SN.png,10SN.png,0.215,0.215,   ,masks/mask59.png,,,,
60,0.559975799,83.71,all_plots/10SY.png,10SY.png,0.215,0.215,   ,masks/mask60.png,,,,
61,0.685513904,73.29,all_plots/11LN.png,11LN.png,0.86,0.86,   ,masks/mask61.png,,,,
62,0.685513904,73.29,all_plots/11LY.png,11LY.png,0.86,0.86,   ,masks/mask62.png,,,,
63,0.685513904,73.29,all_plots/11MN.png,11MN.png,0.34,0.34,   ,masks/mask63.png,,,,
64,0.685513904,73.29,all_plots/11MY.png,11MY.png,0.34,0.34,   ,masks/mask64.png,,,,
65,0.685513904,73.29,all_plots/11SN.png,11SN.png,0.215,0.215,   ,masks/mask65.png,,,,
66,0.685513904,73.29,all_plots/11SY.png,11SY.png,0.215,0.215,   ,masks/mask66.png,,,,
67,0.581482385,82.18,all_plots/12LN.png,12LN.png,0.86,0.86,   ,masks/mask67.png,,,,
68,0.581482385,82.18,all_plots/12LY.png,12LY.png,0.86,0.86,   ,masks/mask68.png,,,,
69,0.581482385,82.18,all_plots/12MN.png,12MN.png,0.34,0.34,   ,masks/mask69.png,,,,
70,0.581482385,82.18,all_plots/12MY.png,12MY.png,0.34,0.34,   ,masks/mask70.png,,,,
71,0.581482385,82.18,all_plots/12SN.png,12SN.png,0.215,0.215,   ,masks/mask71.png,,,,
72,0.581482385,82.18,all_plots/12SY.png,12SY.png,0.215,0.215,   ,masks/mask72.png,,,,
73,0.397913509,92.8,all_plots/13LN.png,13LN.png,0.86,0.86,   ,masks/mask73.png,,,,
74,0.397913509,92.8,all_plots/13LY.png,13LY.png,0.86,0.86,   ,masks/mask74.png,,,,
75,0.397913509,92.8,all_plots/13MN.png,13MN.png,0.34,0.34,   ,masks/mask75.png,,,,
76,0.397913509,92.8,all_plots/13MY.png,13MY.png,0.34,0.34,   ,masks/mask76.png,,,,
77,0.397913509,92.8,all_plots/13SN.png,13SN.png,0.215,0.215,   ,masks/mask77.png,,,,
78,0.397913509,92.8,all_plots/13SY.png,13SY.png,0.215,0.215,   ,masks/mask78.png,,,,
79,0.846403439,53.39,all_plots/14LN.png,14LN.png,0.86,0.86,   ,masks/mask79.png,,,,
80,0.846403439,53.39,all_plots/14LY.png,14LY.png,0.86,0.86,   ,masks/mask80.png,,,,
81,0.846403439,53.39,all_plots/14MN.png,14MN.png,0.34,0.34,   ,masks/mask81.png,,,,
82,0.846403439,53.39,all_plots/14MY.png,14MY.png,0.34,0.34,   ,masks/mask82.png,,,,
83,0.846403439,53.39,all_plots/14SN.png,14SN.png,0.215,0.215,   ,masks/mask83.png,,,,
84,0.846403439,53.39,all_plots/14SY.png,14SY.png,0.215,0.215,   ,masks/mask84.png,,,,
85,0.404621088,92.49,all_plots/15LN.png,15LN.png,0.86,0.86,   ,masks/mask85.png,,,,
86,0.404621088,92.49,all_plots/15LY.png,15LY.png,0.86,0.86,   ,masks/mask86.png,,,,
87,0.404621088,92.49,all_plots/15MN.png,15MN.png,0.34,0.34,   ,masks/mask87.png,,,,
88,0.404621088,92.49,all_plots/15MY.png,15MY.png,0.34,0.34,   ,masks/mask88.png,,,,
89,0.404621088,92.49,all_plots/15SN.png,15SN.png,0.215,0.215,   ,masks/mask89.png,,,,
90,0.404621088,92.49,all_plots/15SY.png,15SY.png,0.215,0.215,   ,masks/mask90.png,,,,
91,0.78610694,62.15,all_plots/16LN.png,16LN.png,0.86,0.86,   ,masks/mask91.png,,,,
92,0.78610694,62.15,all_plots/16LY.png,16LY.png,0.86,0.86,   ,masks/mask92.png,,,,
93,0.78610694,62.15,all_plots/16MN.png,16MN.png,0.34,0.34,   ,masks/mask93.png,,,,
94,0.78610694,62.15,all_plots/16MY.png,16MY.png,0.34,0.34,   ,masks/mask94.png,,,,
95,0.78610694,62.15,all_plots/16SN.png,16SN.png,0.215,0.215,   ,masks/mask95.png,,,,
96,0.78610694,62.15,all_plots/16SY.png,16SY.png,0.215,0.215,   ,masks/mask96.png,,,,
97,0.400356299,92.72,all_plots/17LN.png,17LN.png,0.86,0.86,   ,masks/mask97.png,,,,
98,0.400356299,92.72,all_plots/17LY.png,17LY.png,0.86,0.86,   ,masks/mask98.png,,,,
99,0.400356299,92.72,all_plots/17MN.png,17MN.png,0.34,0.34,   ,masks/mask99.png,,,,
100,0.400356299,92.72,all_plots/17MY.png,17MY.png,0.34,0.34,   ,masks/mask100.png,,,,
101,0.400356299,92.72,all_plots/17SN.png,17SN.png,0.215,0.215,   ,masks/mask101.png,,,,
102,0.400356299,92.72,all_plots/17SY.png,17SY.png,0.215,0.215,   ,masks/mask102.png,,,,
103,0.386774546,93.21,all_plots/18LN.png,18LN.png,0.86,0.86,   ,masks/mask103.png,,,,
104,0.386774546,93.21,all_plots/18LY.png,18LY.png,0.86,0.86,   ,masks/mask104.png,,,,
105,0.386774546,93.21,all_plots/18MN.png,18MN.png,0.34,0.34,   ,masks/mask105.png,,,,
106,0.386774546,93.21,all_plots/18MY.png,18MY.png,0.34,0.34,   ,masks/mask106.png,,,,
107,0.386774546,93.21,all_plots/18SN.png,18SN.png,0.215,0.215,   ,masks/mask107.png,,,,
108,0.386774546,93.21,all_plots/18SY.png,18SY.png,0.215,0.215,   ,masks/mask108.png,,,,
109,0.330705953,95.34,all_plots/19LN.png,19LN.png,0.86,0.86,   ,masks/mask109.png,,,,
110,0.330705953,95.34,all_plots/19LY.png,19LY.png,0.86,0.86,   ,masks/mask110.png,,,,
111,0.330705953,95.34,all_plots/19MN.png,19MN.png,0.34,0.34,   ,masks/mask111.png,,,,
112,0.330705953,95.34,all_plots/19MY.png,19MY.png,0.34,0.34,   ,masks/mask112.png,,,,
113,0.330705953,95.34,all_plots/19SN.png,19SN.png,0.215,0.215,   ,masks/mask113.png,,,,
114,0.330705953,95.34,all_plots/19SY.png,19SY.png,0.215,0.215,   ,masks/mask114.png,,,,
115,0.362558137,94.22,all_plots/20LN.png,20LN.png,0.86,0.86,   ,masks/mask115.png,,,,
116,0.362558137,94.22,all_plots/20LY.png,20LY.png,0.86,0.86,   ,masks/mask116.png,,,,
117,0.362558137,94.22,all_plots/20MN.png,20MN.png,0.34,0.34,   ,masks/mask117.png,,,,
118,0.362558137,94.22,all_plots/20MY.png,20MY.png,0.34,0.34,   ,masks/mask118.png,,,,
119,0.362558137,94.22,all_plots/20SN.png,20SN.png,0.215,0.215,   ,masks/mask119.png,,,,
120,0.362558137,94.22,all_plots/20SY.png,20SY.png,0.215,0.215,   ,masks/mask120.png,,,,
121,0.421628718,91.77,all_plots/21LN.png,21LN.png,0.86,0.86,   ,masks/mask121.png,,,,
122,0.421628718,91.77,all_plots/21LY.png,21LY.png,0.86,0.86,   ,masks/mask122.png,,,,
123,0.421628718,91.77,all_plots/21MN.png,21MN.png,0.34,0.34,   ,masks/mask123.png,,,,
124,0.421628718,91.77,all_plots/21MY.png,21MY.png,0.34,0.34,   ,masks/mask124.png,,,,
125,0.421628718,91.77,all_plots/21SN.png,21SN.png,0.215,0.215,   ,masks/mask125.png,,,,
126,0.421628718,91.77,all_plots/21SY.png,21SY.png,0.215,0.215,   ,masks/mask126.png,,,,
127,0.41188536,92.16,all_plots/22LN.png,22LN.png,0.86,0.86,   ,masks/mask127.png,,,,
128,0.41188536,92.16,all_plots/22LY.png,22LY.png,0.86,0.86,   ,masks/mask128.png,,,,
129,0.41188536,92.16,all_plots/22MN.png,22MN.png,0.34,0.34,   ,masks/mask129.png,,,,
130,0.41188536,92.16,all_plots/22MY.png,22MY.png,0.34,0.34,   ,masks/mask130.png,,,,
131,0.41188536,92.16,all_plots/22SN.png,22SN.png,0.215,0.215,   ,masks/mask131.png,,,,
132,0.41188536,92.16,all_plots/22SY.png,22SY.png,0.215,0.215,   ,masks/mask132.png,,,,
133,0.311332202,95.88,all_plots/23LN.png,23LN.png,0.86,0.86,   ,masks/mask133.png,,,,
134,0.311332202,95.88,all_plots/23LY.png,23LY.png,0.86,0.86,   ,masks/mask134.png,,,,
135,0.311332202,95.88,all_plots/23MN.png,23MN.png,0.34,0.34,   ,masks/mask135.png,,,,
136,0.311332202,95.88,all_plots/23MY.png,23MY.png,0.34,0.34,   ,masks/mask136.png,,,,
137,0.311332202,95.88,all_plots/23SN.png,23SN.png,0.215,0.215,   ,masks/mask137.png,,,,
138,0.311332202,95.88,all_plots/23SY.png,23SY.png,0.215,0.215,   ,masks/mask138.png,,,,
139,0.227997143,97.99,all_plots/24LN.png,24LN.png,0.86,0.86,   ,masks/mask139.png,,,,
140,0.227997143,97.99,all_plots/24LY.png,24LY.png,0.86,0.86,   ,masks/mask140.png,,,,
141,0.227997143,97.99,all_plots/24MN.png,24MN.png,0.34,0.34,   ,masks/mask141.png,,,,
142,0.227997143,97.99,all_plots/24MY.png,24MY.png,0.34,0.34,   ,masks/mask142.png,,,,
143,0.227997143,97.99,all_plots/24SN.png,24SN.png,0.215,0.215,   ,masks/mask143.png,,,,
144,0.227997143,97.99,all_plots/24SY.png,24SY.png,0.215,0.215,   ,masks/mask144.png,,,,
145,0.353159679,94.56,all_plots/25LN.png,25LN.png,0.86,0.86,   ,masks/mask145.png,,,,
146,0.353159679,94.56,all_plots/25LY.png,25LY.png,0.86,0.86,   ,masks/mask146.png,,,,
147,0.353159679,94.56,all_plots/25MN.png,25MN.png,0.34,0.34,   ,masks/mask147.png,,,,
148,0.353159679,94.56,all_plots/25MY.png,25MY.png,0.34,0.34,   ,masks/mask148.png,,,,
149,0.353159679,94.56,all_plots/25SN.png,25SN.png,0.215,0.215,   ,masks/mask149.png,,,,
150,0.353159679,94.56,all_plots/25SY.png,25SY.png,0.215,0.215,   ,masks/mask150.png,,,,
151,0.767418987,64.48,all_plots/26LN.png,26LN.png,0.86,0.86,   ,masks/mask151.png,,,,
152,0.767418987,64.48,all_plots/26LY.png,26LY.png,0.86,0.86,   ,masks/mask152.png,,,,
153,0.767418987,64.48,all_plots/26MN.png,26MN.png,0.34,0.34,   ,masks/mask153.png,,,,
154,0.767418987,64.48,all_plots/26MY.png,26MY.png,0.34,0.34,   ,masks/mask154.png,,,,
155,0.767418987,64.48,all_plots/26SN.png,26SN.png,0.215,0.215,   ,masks/mask155.png,,,,
156,0.767418987,64.48,all_plots/26SY.png,26SY.png,0.215,0.215,   ,masks/mask156.png,,,,
157,0.567988283,83.13,all_plots/27LN.png,27LN.png,0.86,0.86,   ,masks/mask157.png,,,,
158,0.567988283,83.13,all_plots/27LY.png,27LY.png,0.86,0.86,   ,masks/mask158.png,,,,
159,0.567988283,83.13,all_plots/27MN.png,27MN.png,0.34,0.34,   ,masks/mask159.png,,,,
160,0.567988283,83.13,all_plots/27MY.png,27MY.png,0.34,0.34,   ,masks/mask160.png,,,,
161,0.567988283,83.13,all_plots/27SN.png,27SN.png,0.215,0.215,   ,masks/mask161.png,,,,
162,0.567988283,83.13,all_plots/27SY.png,27SY.png,0.215,0.215,   ,masks/mask162.png,,,,
163,0.840260716,54.42,all_plots/28LN.png,28LN.png,0.86,0.86,   ,masks/mask163.png,,,,
164,0.840260716,54.42,all_plots/28LY.png,28LY.png,0.86,0.86,   ,masks/mask164.png,,,,
165,0.840260716,54.42,all_plots/28MN.png,28MN.png,0.34,0.34,   ,masks/mask165.png,,,,
166,0.840260716,54.42,all_plots/28MY.png,28MY.png,0.34,0.34,   ,masks/mask166.png,,,,
167,0.840260716,54.42,all_plots/28SN.png,28SN.png,0.215,0.215,   ,masks/mask167.png,,,,
168,0.840260716,54.42,all_plots/28SY.png,28SY.png,0.215,0.215,   ,masks/mask168.png,,,,
169,0.781941533,62.69,all_plots/29LN.png,29LN.png,0.86,0.86,   ,masks/mask169.png,,,,
170,0.781941533,62.69,all_plots/29LY.png,29LY.png,0.86,0.86,   ,masks/mask170.png,,,,
171,0.781941533,62.69,all_plots/29MN.png,29MN.png,0.34,0.34,   ,masks/mask171.png,,,,
172,0.781941533,62.69,all_plots/29MY.png,29MY.png,0.34,0.34,   ,masks/mask172.png,,,,
173,0.781941533,62.69,all_plots/29SN.png,29SN.png,0.215,0.215,   ,masks/mask173.png,,,,
174,0.781941533,62.69,all_plots/29SY.png,29SY.png,0.215,0.215,   ,masks/mask174.png,,,,
175,0.232039184,97.87,all_plots/30LN.png,30LN.png,0.86,0.86,   ,masks/mask175.png,,,,
176,0.232039184,97.87,all_plots/30LY.png,30LY.png,0.86,0.86,   ,masks/mask176.png,,,,
177,0.232039184,97.87,all_plots/30MN.png,30MN.png,0.34,0.34,   ,masks/mask177.png,,,,
178,0.232039184,97.87,all_plots/30MY.png,30MY.png,0.34,0.34,   ,masks/mask178.png,,,,
179,0.232039184,97.87,all_plots/30SN.png,30SN.png,0.215,0.215,   ,masks/mask179.png,,,,
180,0.232039184,97.87,all_plots/30SY.png,30SY.png,0.215,0.215,   ,masks/mask180.png,,,,
181,0,96.74,all_plots/1LN.png,1LN.png,0.34,0.34,Please ignore the correlation displayed and set the slider to 0.,masks/mask181.png,,,,
182,0,96.74,all_plots/1LY.png,1LY.png,0.34,0.34,Please ignore the correlation displayed and set the slider to 0.,masks/mask182.png,,,,
183,0,96.74,all_plots/1MN.png,1MN.png,0.34,0.34,Please ignore the correlation displayed and set the slider to 0.,masks/mask183.png,,,,
184,1,96.74,all_plots/1MY.png,1MY.png,0.34,0.34,Please ignore the correlation displayed and set the slider to 1.,masks/mask184.png,,,,
185,1,96.74,all_plots/1SN.png,1SN.png,0.34,0.34,Please ignore the correlation displayed and set the slider to 1.,masks/mask185.png,,,,
186,1,96.74,all_plots/1SY.png,1SY.png,0.34,0.34,Please ignore the correlation displayed and set the slider to 1.,masks/mask186.png,,,,
