image,item_no,my_rs,res_vec,size_h,size_w,masks,filler_instructions
all_plots/1LN.png,1,0.279592388,96.74,0.86,0.86,masks/mask1.png,
all_plots/1LY.png,2,0.279592388,96.74,0.86,0.86,masks/mask2.png,
all_plots/1MN.png,3,0.279592388,96.74,0.34,0.34,masks/mask3.png,
all_plots/1MY.png,4,0.279592388,96.74,0.34,0.34,masks/mask4.png,
all_plots/1SN.png,5,0.279592388,96.74,0.215,0.215,masks/mask5.png,
all_plots/1SY.png,6,0.279592388,96.74,0.215,0.215,masks/mask6.png,
all_plots/2LN.png,7,0.635609583,78.91,0.86,0.86,masks/mask7.png,
all_plots/2LY.png,8,0.635609583,78.91,0.86,0.86,masks/mask8.png,
all_plots/2MN.png,9,0.635609583,78.91,0.34,0.34,masks/mask9.png,
all_plots/2MY.png,10,0.635609583,78.91,0.34,0.34,masks/mask10.png,
all_plots/2SN.png,11,0.635609583,78.91,0.215,0.215,masks/mask11.png,
all_plots/2SY.png,12,0.635609583,78.91,0.215,0.215,masks/mask12.png,
all_plots/3LN.png,13,0.626492313,77.01,0.86,0.86,masks/mask13.png,
all_plots/3LY.png,14,0.626492313,77.01,0.86,0.86,masks/mask14.png,
all_plots/3MN.png,15,0.626492313,77.01,0.34,0.34,masks/mask15.png,
all_plots/3MY.png,16,0.626492313,77.01,0.34,0.34,masks/mask16.png,
all_plots/3SN.png,17,0.626492313,77.01,0.215,0.215,masks/mask17.png,
all_plots/3SY.png,18,0.626492313,77.01,0.215,0.215,masks/mask18.png,
all_plots/4LN.png,19,0.636365609,79.96,0.86,0.86,masks/mask19.png,
all_plots/4LY.png,20,0.636365609,79.96,0.86,0.86,masks/mask20.png,
all_plots/4MN.png,21,0.636365609,79.96,0.34,0.34,masks/mask21.png,
all_plots/4MY.png,22,0.636365609,79.96,0.34,0.34,masks/mask22.png,
all_plots/4SN.png,23,0.636365609,79.96,0.215,0.215,masks/mask23.png,
all_plots/4SY.png,24,0.636365609,79.96,0.215,0.215,masks/mask24.png,
all_plots/5LN.png,25,0.802640768,63.04,0.86,0.86,masks/mask25.png,
all_plots/5LY.png,26,0.802640768,63.04,0.86,0.86,masks/mask26.png,
all_plots/5MN.png,27,0.802640768,63.04,0.34,0.34,masks/mask27.png,
all_plots/5MY.png,28,0.802640768,63.04,0.34,0.34,masks/mask28.png,
all_plots/5SN.png,29,0.802640768,63.04,0.215,0.215,masks/mask29.png,
all_plots/5SY.png,30,0.802640768,63.04,0.215,0.215,masks/mask30.png,
all_plots/6LN.png,31,0.648217424,77.27,0.86,0.86,masks/mask31.png,
all_plots/6LY.png,32,0.648217424,77.27,0.86,0.86,masks/mask32.png,
all_plots/6MN.png,33,0.648217424,77.27,0.34,0.34,masks/mask33.png,
all_plots/6MY.png,34,0.648217424,77.27,0.34,0.34,masks/mask34.png,
all_plots/6SN.png,35,0.648217424,77.27,0.215,0.215,masks/mask35.png,
all_plots/6SY.png,36,0.648217424,77.27,0.215,0.215,masks/mask36.png,
all_plots/7LN.png,37,0.206647029,102.88,0.86,0.86,masks/mask37.png,
all_plots/7LY.png,38,0.206647029,102.88,0.86,0.86,masks/mask38.png,
all_plots/7MN.png,39,0.206647029,102.88,0.34,0.34,masks/mask39.png,
all_plots/7MY.png,40,0.206647029,102.88,0.34,0.34,masks/mask40.png,
all_plots/7SN.png,41,0.206647029,102.88,0.215,0.215,masks/mask41.png,
all_plots/7SY.png,42,0.206647029,102.88,0.215,0.215,masks/mask42.png,
all_plots/8LN.png,43,0.362785354,92.79,0.86,0.86,masks/mask43.png,
all_plots/8LY.png,44,0.362785354,92.79,0.86,0.86,masks/mask44.png,
all_plots/8MN.png,45,0.362785354,92.79,0.34,0.34,masks/mask45.png,
all_plots/8MY.png,46,0.362785354,92.79,0.34,0.34,masks/mask46.png,
all_plots/8SN.png,47,0.362785354,92.79,0.215,0.215,masks/mask47.png,
all_plots/8SY.png,48,0.362785354,92.79,0.215,0.215,masks/mask48.png,
all_plots/9LN.png,49,0.666258631,73.7,0.86,0.86,masks/mask49.png,
all_plots/9LY.png,50,0.666258631,73.7,0.86,0.86,masks/mask50.png,
all_plots/9MN.png,51,0.666258631,73.7,0.34,0.34,masks/mask51.png,
all_plots/9MY.png,52,0.666258631,73.7,0.34,0.34,masks/mask52.png,
all_plots/9SN.png,53,0.666258631,73.7,0.215,0.215,masks/mask53.png,
all_plots/9SY.png,54,0.666258631,73.7,0.215,0.215,masks/mask54.png,
all_plots/10LN.png,55,0.559975799,80.26,0.86,0.86,masks/mask55.png,
all_plots/10LY.png,56,0.559975799,80.26,0.86,0.86,masks/mask56.png,
all_plots/10MN.png,57,0.559975799,80.26,0.34,0.34,masks/mask57.png,
all_plots/10MY.png,58,0.559975799,80.26,0.34,0.34,masks/mask58.png,
all_plots/10SN.png,59,0.559975799,80.26,0.215,0.215,masks/mask59.png,
all_plots/10SY.png,60,0.559975799,80.26,0.215,0.215,masks/mask60.png,
all_plots/11LN.png,61,0.685513904,73.5,0.86,0.86,masks/mask61.png,
all_plots/11LY.png,62,0.685513904,73.5,0.86,0.86,masks/mask62.png,
all_plots/11MN.png,63,0.685513904,73.5,0.34,0.34,masks/mask63.png,
all_plots/11MY.png,64,0.685513904,73.5,0.34,0.34,masks/mask64.png,
all_plots/11SN.png,65,0.685513904,73.5,0.215,0.215,masks/mask65.png,
all_plots/11SY.png,66,0.685513904,73.5,0.215,0.215,masks/mask66.png,
all_plots/12LN.png,67,0.581482385,85.18,0.86,0.86,masks/mask67.png,
all_plots/12LY.png,68,0.581482385,85.18,0.86,0.86,masks/mask68.png,
all_plots/12MN.png,69,0.581482385,85.18,0.34,0.34,masks/mask69.png,
all_plots/12MY.png,70,0.581482385,85.18,0.34,0.34,masks/mask70.png,
all_plots/12SN.png,71,0.581482385,85.18,0.215,0.215,masks/mask71.png,
all_plots/12SY.png,72,0.581482385,85.18,0.215,0.215,masks/mask72.png,
all_plots/13LN.png,73,0.397913509,93.1,0.86,0.86,masks/mask73.png,
all_plots/13LY.png,74,0.397913509,93.1,0.86,0.86,masks/mask74.png,
all_plots/13MN.png,75,0.397913509,93.1,0.34,0.34,masks/mask75.png,
all_plots/13MY.png,76,0.397913509,93.1,0.34,0.34,masks/mask76.png,
all_plots/13SN.png,77,0.397913509,93.1,0.215,0.215,masks/mask77.png,
all_plots/13SY.png,78,0.397913509,93.1,0.215,0.215,masks/mask78.png,
all_plots/14LN.png,79,0.846403439,53.05,0.86,0.86,masks/mask79.png,
all_plots/14LY.png,80,0.846403439,53.05,0.86,0.86,masks/mask80.png,
all_plots/14MN.png,81,0.846403439,53.05,0.34,0.34,masks/mask81.png,
all_plots/14MY.png,82,0.846403439,53.05,0.34,0.34,masks/mask82.png,
all_plots/14SN.png,83,0.846403439,53.05,0.215,0.215,masks/mask83.png,
all_plots/14SY.png,84,0.846403439,53.05,0.215,0.215,masks/mask84.png,
all_plots/15LN.png,85,0.404621088,94.41,0.86,0.86,masks/mask85.png,
all_plots/15LY.png,86,0.404621088,94.41,0.86,0.86,masks/mask86.png,
all_plots/15MN.png,87,0.404621088,94.41,0.34,0.34,masks/mask87.png,
all_plots/15MY.png,88,0.404621088,94.41,0.34,0.34,masks/mask88.png,
all_plots/15SN.png,89,0.404621088,94.41,0.215,0.215,masks/mask89.png,
all_plots/15SY.png,90,0.404621088,94.41,0.215,0.215,masks/mask90.png,
all_plots/16LN.png,91,0.78610694,62.49,0.86,0.86,masks/mask91.png,
all_plots/16LY.png,92,0.78610694,62.49,0.86,0.86,masks/mask92.png,
all_plots/16MN.png,93,0.78610694,62.49,0.34,0.34,masks/mask93.png,
all_plots/16MY.png,94,0.78610694,62.49,0.34,0.34,masks/mask94.png,
all_plots/16SN.png,95,0.78610694,62.49,0.215,0.215,masks/mask95.png,
all_plots/16SY.png,96,0.78610694,62.49,0.215,0.215,masks/mask96.png,
all_plots/17LN.png,97,0.400356299,96.45,0.86,0.86,masks/mask97.png,
all_plots/17LY.png,98,0.400356299,96.45,0.86,0.86,masks/mask98.png,
all_plots/17MN.png,99,0.400356299,96.45,0.34,0.34,masks/mask99.png,
all_plots/17MY.png,100,0.400356299,96.45,0.34,0.34,masks/mask100.png,
all_plots/17SN.png,101,0.400356299,96.45,0.215,0.215,masks/mask101.png,
all_plots/17SY.png,102,0.400356299,96.45,0.215,0.215,masks/mask102.png,
all_plots/18LN.png,103,0.386774546,95.07,0.86,0.86,masks/mask103.png,
all_plots/18LY.png,104,0.386774546,95.07,0.86,0.86,masks/mask104.png,
all_plots/18MN.png,105,0.386774546,95.07,0.34,0.34,masks/mask105.png,
all_plots/18MY.png,106,0.386774546,95.07,0.34,0.34,masks/mask106.png,
all_plots/18SN.png,107,0.386774546,95.07,0.215,0.215,masks/mask107.png,
all_plots/18SY.png,108,0.386774546,95.07,0.215,0.215,masks/mask108.png,
all_plots/19LN.png,109,0.330705953,98.1,0.86,0.86,masks/mask109.png,
all_plots/19LY.png,110,0.330705953,98.1,0.86,0.86,masks/mask110.png,
all_plots/19MN.png,111,0.330705953,98.1,0.34,0.34,masks/mask111.png,
all_plots/19MY.png,112,0.330705953,98.1,0.34,0.34,masks/mask112.png,
all_plots/19SN.png,113,0.330705953,98.1,0.215,0.215,masks/mask113.png,
all_plots/19SY.png,114,0.330705953,98.1,0.215,0.215,masks/mask114.png,
all_plots/20LN.png,115,0.362558137,94.11,0.86,0.86,masks/mask115.png,
all_plots/20LY.png,116,0.362558137,94.11,0.86,0.86,masks/mask116.png,
all_plots/20MN.png,117,0.362558137,94.11,0.34,0.34,masks/mask117.png,
all_plots/20MY.png,118,0.362558137,94.11,0.34,0.34,masks/mask118.png,
all_plots/20SN.png,119,0.362558137,94.11,0.215,0.215,masks/mask119.png,
all_plots/20SY.png,120,0.362558137,94.11,0.215,0.215,masks/mask120.png,
all_plots/21LN.png,121,0.421628718,93.6,0.86,0.86,masks/mask121.png,
all_plots/21LY.png,122,0.421628718,93.6,0.86,0.86,masks/mask122.png,
all_plots/21MN.png,123,0.421628718,93.6,0.34,0.34,masks/mask123.png,
all_plots/21MY.png,124,0.421628718,93.6,0.34,0.34,masks/mask124.png,
all_plots/21SN.png,125,0.421628718,93.6,0.215,0.215,masks/mask125.png,
all_plots/21SY.png,126,0.421628718,93.6,0.215,0.215,masks/mask126.png,
all_plots/22LN.png,127,0.41188536,91.99,0.86,0.86,masks/mask127.png,
all_plots/22LY.png,128,0.41188536,91.99,0.86,0.86,masks/mask128.png,
all_plots/22MN.png,129,0.41188536,91.99,0.34,0.34,masks/mask129.png,
all_plots/22MY.png,130,0.41188536,91.99,0.34,0.34,masks/mask130.png,
all_plots/22SN.png,131,0.41188536,91.99,0.215,0.215,masks/mask131.png,
all_plots/22SY.png,132,0.41188536,91.99,0.215,0.215,masks/mask132.png,
all_plots/23LN.png,133,0.311332202,97.2,0.86,0.86,masks/mask133.png,
all_plots/23LY.png,134,0.311332202,97.2,0.86,0.86,masks/mask134.png,
all_plots/23MN.png,135,0.311332202,97.2,0.34,0.34,masks/mask135.png,
all_plots/23MY.png,136,0.311332202,97.2,0.34,0.34,masks/mask136.png,
all_plots/23SN.png,137,0.311332202,97.2,0.215,0.215,masks/mask137.png,
all_plots/23SY.png,138,0.311332202,97.2,0.215,0.215,masks/mask138.png,
all_plots/24LN.png,139,0.227997143,98.59,0.86,0.86,masks/mask139.png,
all_plots/24LY.png,140,0.227997143,98.59,0.86,0.86,masks/mask140.png,
all_plots/24MN.png,141,0.227997143,98.59,0.34,0.34,masks/mask141.png,
all_plots/24MY.png,142,0.227997143,98.59,0.34,0.34,masks/mask142.png,
all_plots/24SN.png,143,0.227997143,98.59,0.215,0.215,masks/mask143.png,
all_plots/24SY.png,144,0.227997143,98.59,0.215,0.215,masks/mask144.png,
all_plots/25LN.png,145,0.353159679,98.19,0.86,0.86,masks/mask145.png,
all_plots/25LY.png,146,0.353159679,98.19,0.86,0.86,masks/mask146.png,
all_plots/25MN.png,147,0.353159679,98.19,0.34,0.34,masks/mask147.png,
all_plots/25MY.png,148,0.353159679,98.19,0.34,0.34,masks/mask148.png,
all_plots/25SN.png,149,0.353159679,98.19,0.215,0.215,masks/mask149.png,
all_plots/25SY.png,150,0.353159679,98.19,0.215,0.215,masks/mask150.png,
all_plots/26LN.png,151,0.767418987,66.5,0.86,0.86,masks/mask151.png,
all_plots/26LY.png,152,0.767418987,66.5,0.86,0.86,masks/mask152.png,
all_plots/26MN.png,153,0.767418987,66.5,0.34,0.34,masks/mask153.png,
all_plots/26MY.png,154,0.767418987,66.5,0.34,0.34,masks/mask154.png,
all_plots/26SN.png,155,0.767418987,66.5,0.215,0.215,masks/mask155.png,
all_plots/26SY.png,156,0.767418987,66.5,0.215,0.215,masks/mask156.png,
all_plots/27LN.png,157,0.567988283,83.41,0.86,0.86,masks/mask157.png,
all_plots/27LY.png,158,0.567988283,83.41,0.86,0.86,masks/mask158.png,
all_plots/27MN.png,159,0.567988283,83.41,0.34,0.34,masks/mask159.png,
all_plots/27MY.png,160,0.567988283,83.41,0.34,0.34,masks/mask160.png,
all_plots/27SN.png,161,0.567988283,83.41,0.215,0.215,masks/mask161.png,
all_plots/27SY.png,162,0.567988283,83.41,0.215,0.215,masks/mask162.png,
all_plots/28LN.png,163,0.840260716,55.77,0.86,0.86,masks/mask163.png,
all_plots/28LY.png,164,0.840260716,55.77,0.86,0.86,masks/mask164.png,
all_plots/28MN.png,165,0.840260716,55.77,0.34,0.34,masks/mask165.png,
all_plots/28MY.png,166,0.840260716,55.77,0.34,0.34,masks/mask166.png,
all_plots/28SN.png,167,0.840260716,55.77,0.215,0.215,masks/mask167.png,
all_plots/28SY.png,168,0.840260716,55.77,0.215,0.215,masks/mask168.png,
all_plots/29LN.png,169,0.781941533,64.5,0.86,0.86,masks/mask169.png,
all_plots/29LY.png,170,0.781941533,64.5,0.86,0.86,masks/mask170.png,
all_plots/29MN.png,171,0.781941533,64.5,0.34,0.34,masks/mask171.png,
all_plots/29MY.png,172,0.781941533,64.5,0.34,0.34,masks/mask172.png,
all_plots/29SN.png,173,0.781941533,64.5,0.215,0.215,masks/mask173.png,
all_plots/29SY.png,174,0.781941533,64.5,0.215,0.215,masks/mask174.png,
all_plots/30LN.png,175,0.232039184,96.41,0.86,0.86,masks/mask175.png,
all_plots/30LY.png,176,0.232039184,96.41,0.86,0.86,masks/mask176.png,
all_plots/30MN.png,177,0.232039184,96.41,0.34,0.34,masks/mask177.png,
all_plots/30MY.png,178,0.232039184,96.41,0.34,0.34,masks/mask178.png,
all_plots/30SN.png,179,0.232039184,96.41,0.215,0.215,masks/mask179.png,
all_plots/30SY.png,180,0.232039184,96.41,0.215,0.215,masks/mask180.png,
all_plots/1LN.png,181,0,0,0.86,0.86,masks/mask181.png,Please ignore the correlation displayed and set the slider to 0.
all_plots/1LY.png,182,0,0,0.86,0.86,masks/mask182.png,Please ignore the correlation displayed and set the slider to 0.
all_plots/1MN.png,183,0,0,0.34,0.34,masks/mask183.png,Please ignore the correlation displayed and set the slider to 0.
all_plots/1MY.png,184,1,0,0.34,0.34,masks/mask184.png,Please ignore the correlation displayed and set the slider to 1.
all_plots/1SN.png,185,1,0,0.215,0.215,masks/mask185.png,Please ignore the correlation displayed and set the slider to 1.
all_plots/1SY.png,186,1,0,0.215,0.215,masks/mask186.png,Please ignore the correlation displayed and set the slider to 1.
